Sequential, Parallelize:Thread 2, Synchronized:Thread 2, Phaser:Thread 2, Parallelize:Thread 4, Synchronized:Thread 4, Phaser:Thread 4
188163222406,143378045108,239990436242,163240752655,146706266278,155025248969,136163329496
194248171907,144799807367,159222041372,136597624694,135459256494,147222107245,136037599029
185539851007,139383601577,163719397733,168877166734,152908280025,164287347756,192082907547
245976489852,161580973325,168752871141,209527398791,132821052213,144426042003,121957970393
175226868671,129276277585,148087322702,124582826967,124886879618,141216958837,119968681893
172740753042,125422385475,138699805070,119763981858,119359883318,134751269285,116724590026
163585619923,120421531665,143207834927,120589340685,119394433102,135758852932,116111994820
165325053033,125341040190,139397647613,117405235744,117358183383,135846468911,116594788195
164771136786,120559056474,141243169431,119218087244,118375753426,133065402193,115674298144
168790912145,115411037501,138288253459,119869969979,116251177350,132279247554,116213240963
165200762873,117139301123,141900292561,118047497595,117190835265,134411258298,113947682029
164568565697,122914689391,141632134415,118886017666,118187630492,131110057919,117032269750
162371152327,121616537151,139065581910,118752164080,117454464887,135406993622,114220734272
163102006921,124258392846,139115414943,116380602281,117269490766,133023516250,116519734329
164194043906,121476708484,140246301488,119378582531,117185068710,131826717251,116929643945
164796457780,118581426634,145420371315,118777192146,116305668165,131967081709,114664614284
163705827448,120650273704,142226850480,118921259489,117789514113,132580554394,115146582573
165791465009,119754889302,142787490042,119421606272,119133195559,133080178692,115884783128
168458440399,120232459997,142028132543,124359379788,119407800443,135132268633,114227562829
164906229102,123551061773,139532038615,118645535769,116746997577,133150681657,114709618880
164050033414,118413790612,144030862273,118054984227,117381559883,133901990988,114451449535
164784227717,123221896687,141047234308,118148069386,117594637860,133210615336,114121283443
162818345416,118625459645,141700348050,118981245201,116495352710,132177374699,114578429159
164707172311,117753429485,141956825985,118416293863,118246153036,132242295826,115824504201
162691865757,118444605509,143214941988,118838908050,117525670604,134236807568,116200495278
164674695584,122939762117,142395069946,117517609518,118405590608,134194733141,116170034495
164295036322,122930873856,139517848462,119222546902,116983718323,133361186099,115043949808
164239421057,122317541691,143550533349,118009326392,117160652284,131640440152,114845301079
162745496097,122949322649,138760286863,118069933895,114934325509,132057970608,114194256001
165590710104,116817319734,142644101342,116721940274,115822156252,130327962980,116267645175
